,
,
FSLI,XBRL Tag
Revenue,us-gaap:Revenues
      - Cost of revenue,us-gaap:CostOfRevenue
Gross profit,us-gaap:GrossProfit
,
Operating expenses,Total Operating Expenses
      - Research and development,us-gaap:ResearchAndDevelopmentExpense
"      - Sales, general and administrative",us-gaap:SellingGeneralAndAdministrativeExpense
           - Total operating expenses,us-gaap:OperatingExpenses
Operating income,us-gaap:OperatingIncomeLoss
,
      - Interest income,us-gaap:InvestmentIncomeInterest
      - Interest expense,us-gaap:InterestExpenseNonoperating
"      - Other income (expense), net",us-gaap:OtherNonoperatingIncomeExpense
"           - Total other income, net",us-gaap:NonoperatingIncomeExpense
Income before income tax,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
Income tax expense,us-gaap:IncomeTaxExpenseBenefit
Net income,us-gaap:NetIncomeLoss
"Other comprehensive income (loss), net of tax",
Available-for-sale securities:,
      - Net change in unrealized gain (loss),us-gaap:OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent
Cash flow hedges:,
      - Net change in unrealized gain,us-gaap:OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent
"Other comprehensive income (loss), net of tax",us-gaap:OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent
Total comprehensive income,us-gaap:ComprehensiveIncomeNetOfTax
,
Net income per share:,
      - Basic,us-gaap:EarningsPerShareBasic
      - Diluted,us-gaap:EarningsPerShareDiluted
Weighted average shares used in per share computation:,
      - Basic,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic
      - Diluted,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding
